Run	actual_sex	actual_sex_zw	SCiMS sample ID	Rx	Ry
S1F200	female	male	S1F200	0.2366	0
S1F250	female	male	S1F250	0.569	0
S1F300	female	male	S1F300	0.6234	0
S1F350	female	male	S1F350	1.0226	0
S1F400	female	male	S1F400	0.9197	0
S1F450	female	male	S1F450	0.4733	0
S1F1000	female	male	S1F1000	0.6171	0
S1F5000	female	male	S1F5000	0.9412	0.0505
S1F10000	female	male	S1F10000	0.922	0.0134
S1F100000	female	male	S1F100000	0.8233	0.0089
S1F1000000	female	male	S1F1000000	0.8462	0.0134
S1M150	male	female	S1M150	0.731	0
S1M200	male	female	S1M200	1.2297	0
S1M250	male	female	S1M250	0.1343	0
S1M300	male	female	S1M300	0.2534	0
S1M350	male	female	S1M350	0.577	0.4544
S1M400	male	female	S1M400	0.0979	1.3633
S1M450	male	female	S1M450	0.7655	0
S1M1000	male	female	S1M1000	0.1947	1.2119
S1M5000	male	female	S1M5000	0.4783	0.4166
S1M10000	male	female	S1M10000	0.4671	0.5042
S1M100000	male	female	S1M100000	0.4227	0.4366
S1M1000000	male	female	S1M1000000	0.4159	0.4877
S2F150	female	male	S2F150	1.0639	0
S2F200	female	male	S2F200	0.9411	0
S2F250	female	male	S2F250	1.5283	0
S2F300	female	male	S2F300	0.5132	0
S2F350	female	male	S2F350	0.8745	0
S2F400	female	male	S2F400	0.9342	0
S2F450	female	male	S2F450	0.5139	0
S2F1000	female	male	S2F1000	0.8358	0.1298
S2F5000	female	male	S2F5000	1.0104	0
S2F10000	female	male	S2F10000	0.8004	0
S2F100000	female	male	S2F100000	0.8587	0.0114
S2F1000000	female	male	S2F1000000	0.8433	0.0158
S2M200	male	female	S2M200	0	2.7267
S2M250	male	female	S2M250	0.3277	0
S2M300	male	female	S2M300	0.3554	0.6817
S2M350	male	female	S2M350	0.5285	0
S2M400	male	female	S2M400	0.1855	0
S2M450	male	female	S2M450	0.4977	0.3895
S2M1000	male	female	S2M1000	0.4742	0.8521
S2M5000	male	female	S2M5000	0.3981	0.5194
S2M10000	male	female	S2M10000	0.4124	0.5453
S2M100000	male	female	S2M100000	0.4199	0.4874
S2M1000000	male	female	S2M1000000	0.419	0.4842
S3F150	female	male	S3F150	1.3231	0
S3F200	female	male	S3F200	0.6906	0
S3F250	female	male	S3F250	1.4079	0
S3F300	female	male	S3F300	0.8991	0
S3F350	female	male	S3F350	0.6481	0
S3F400	female	male	S3F400	0.9004	0
S3F450	female	male	S3F450	0.8848	0
S3F1000	female	male	S3F1000	0.8415	0
S3F5000	female	male	S3F5000	0.867	0
S3F10000	female	male	S3F10000	0.8233	0
S3F100000	female	male	S3F100000	0.8462	0.0086
S3F1000000	female	male	S3F1000000	0.8497	0.0126
S3M150	male	female	S3M150	0.5363	0
S3M200	male	female	S3M200	0.3556	0
S3M250	male	female	S3M250	0.5809	0
S3M300	male	female	S3M300	0.2504	0
S3M350	male	female	S3M350	0.24	0.9089
S3M400	male	female	S3M400	0.0978	1.8178
S3M450	male	female	S3M450	0.5075	1.0907
S3M1000	male	female	S3M1000	0.512	0.3636
S3M5000	male	female	S3M5000	0.4135	0.3576
S3M10000	male	female	S3M10000	0.3813	0.5364
S3M100000	male	female	S3M100000	0.4206	0.4676
S3M1000000	male	female	S3M1000000	0.4172	0.4864
S4F150	female	male	S4F150	0.3087	0
S4F200	female	male	S4F200	0.7459	0
S4F250	female	male	S4F250	0.8194	0
S4F300	female	male	S4F300	1.387	0
S4F350	female	male	S4F350	1.093	0
S4F400	female	male	S4F400	1.267	0
S4F450	female	male	S4F450	0.7292	0
S4F1000	female	male	S4F1000	0.9367	0
S4F5000	female	male	S4F5000	0.7139	0
S4F10000	female	male	S4F10000	0.8265	0.0147
S4F100000	female	male	S4F100000	0.8499	0.0158
S4F1000000	female	male	S4F1000000	0.8458	0.0127
S4M150	male	female	S4M150	0.2554	0
S4M200	male	female	S4M200	0.6318	0
S4M250	male	female	S4M250	0.6914	0.5453
S4M300	male	female	S4M300	0.5991	0
S4M350	male	female	S4M350	0.5161	0
S4M400	male	female	S4M400	0.0934	1.3633
S4M450	male	female	S4M450	0.8157	0.6817
S4M1000	male	female	S4M1000	0.6206	0.1604
S4M5000	male	female	S4M5000	0.4579	0.4608
S4M10000	male	female	S4M10000	0.4543	0.421
S4M100000	male	female	S4M100000	0.4391	0.4636
S4M1000000	male	female	S4M1000000	0.4173	0.4902
S5F150	female	male	S5F150	0.474	0
